user_id;item_id;rating
1;1;3
1;2;1
1;3;5
1;4;4
1;5;4
1;7;5
1;8;2
1;9;1
1;10;1
2;1;4
2;2;2
2;3;2
2;4;2
2;5;4
2;6;1
2;7;1
2;8;5
2;9;4
2;10;3
3;1;5
3;2;2
3;3;5
3;4;1
3;5;1
3;6;5
3;7;5
3;8;2
3;9;1
3;10;1
4;1;1
4;2;3
4;3;4
4;4;1
4;5;5
4;6;2
4;7;5
4;8;1
4;9;1
4;10;1
5;2;4
5;3;3
5;4;5
5;5;5
5;6;2
5;7;3
5;8;5
5;9;2
5;10;4
6;1;1
6;2;5
6;3;5
6;4;3
6;5;1
6;6;2
6;7;2
6;8;2
6;9;4
6;10;5
7;1;3
7;2;5
7;3;3
7;4;5
7;5;1
7;6;3
7;7;2
7;8;5
7;9;5
7;10;5
8;1;2
8;2;4
8;3;3
8;4;5
8;5;3
8;6;5
8;7;5
8;8;2
8;9;4
8;10;1
9;1;4
9;2;5
9;3;1
9;4;4
9;5;5
9;6;1
9;7;4
9;8;3
9;9;2
9;10;2
10;1;5
10;2;3
10;3;2
10;4;5
10;5;2
10;6;3
10;7;4
10;8;3
10;9;1
10;10;3
11;1;2
11;2;3
11;3;2
11;4;4
11;5;5
11;6;1
11;7;1
11;8;2
11;9;5
11;10;2
12;1;1
12;2;5
12;3;5
12;4;4
12;5;4
12;6;2
12;7;2
12;8;2
12;9;2
12;10;3
13;1;1
13;2;1
13;3;1
13;4;3
13;5;3
13;6;1
13;7;3
13;8;5
13;9;1
13;10;1
14;1;1
14;2;1
14;3;3
14;4;1
14;5;3
14;6;2
14;7;4
14;8;4
14;9;5
14;10;1
15;1;2
15;2;5
15;3;2
15;4;2
15;5;4
15;6;1
15;7;3
15;8;3
15;9;4
15;10;5
16;1;4
16;2;3
16;3;2
16;4;5
16;5;2
16;6;5
16;7;2
16;8;2
16;9;2
16;10;2
17;1;4
17;2;5
17;3;5
17;4;2
17;5;2
17;6;2
17;7;2
17;8;3
17;9;4
17;10;5
18;1;2
18;2;3
18;3;2
18;4;5
18;5;1
18;6;2
18;7;4
18;8;1
18;9;2
18;10;3
19;1;5
19;2;2
19;3;2
19;4;4
19;5;2
19;6;5
19;7;3
19;8;5
19;9;4
19;10;4
20;1;2
20;2;5
20;3;1
20;4;2
20;5;2
20;6;1
20;7;1
20;8;4
20;9;1
20;10;2
21;1;5
21;2;4
21;3;1
21;4;4
21;5;5
21;6;3
21;7;5
21;8;1
21;9;3
21;10;3
22;1;3
22;2;3
22;3;2
22;4;2
22;5;3
22;6;2
22;7;2
22;8;4
22;9;1
22;10;5
23;1;1
23;2;1
23;3;1
23;4;4
23;5;3
23;6;5
23;7;3
23;8;3
23;9;4
23;10;3
24;1;2
24;2;4
24;3;4
24;4;1
24;5;5
24;6;3
24;7;1
24;8;1
24;9;2
24;10;1
25;1;2
25;2;5
25;3;4
25;4;5
25;5;2
25;6;4
25;7;2
25;8;2
25;9;5
25;10;1
26;1;3
26;2;2
26;3;5
26;4;3
26;5;1
26;6;4
26;7;2
26;8;4
26;9;5
26;10;2
27;1;2
27;2;4
27;3;2
27;4;3
27;5;3
27;6;3
27;7;5
27;8;3
27;9;3
27;10;3
28;1;5
28;2;1
28;3;1
28;4;1
28;5;4
28;6;2
28;7;1
28;8;5
28;9;2
28;10;5
29;1;1
29;2;1
29;3;5
29;4;1
29;5;4
29;6;3
29;7;4
29;8;3
29;9;1
29;10;2
30;1;1
30;2;2
30;3;3
30;4;2
30;5;1
30;6;5
30;7;3
30;8;2
30;9;4
30;10;3
31;1;5
31;2;5
31;3;2
31;4;3
31;5;2
31;6;2
31;7;4
31;8;3
31;9;3
31;10;4
32;1;1
32;2;4
32;3;3
32;4;1
32;5;3
32;6;2
32;7;1
32;8;5
32;9;5
32;10;1
33;1;4
33;2;3
33;3;5
33;4;5
33;5;1
33;6;2
33;7;1
33;8;2
33;9;5
33;10;4
34;1;1
34;2;2
34;3;4
34;4;1
34;5;2
34;6;4
34;7;2
34;8;4
34;9;1
34;10;2
35;1;1
35;2;4
35;3;2
35;4;2
35;5;5
35;6;1
35;7;1
35;8;5
35;9;5
35;10;1
36;1;1
36;2;2
36;3;5
36;4;3
36;5;3
36;6;2
36;7;3
36;8;2
36;9;3
36;10;4
37;1;2
37;2;5
37;3;1
37;4;4
37;5;5
37;6;5
37;7;1
37;8;5
37;9;3
37;10;5
38;1;4
38;2;1
38;3;4
38;4;1
38;5;5
38;6;3
38;7;4
38;8;2
38;9;2
38;10;3
39;1;1
39;2;3
39;3;2
39;4;5
39;5;5
39;6;2
39;7;5
39;8;3
39;9;3
39;10;2
40;1;2
40;2;4
40;3;5
40;4;1
40;5;4
40;6;1
40;7;1
40;8;1
40;9;5
40;10;4
41;1;2
41;2;2
41;3;3
41;4;3
41;5;1
41;6;5
41;7;1
41;8;5
41;9;5
41;10;4
42;1;2
42;2;3
42;3;1
42;4;2
42;5;4
42;6;5
42;7;2
42;8;4
42;9;1
42;10;3
43;1;5
43;2;2
43;3;3
43;4;2
43;5;4
43;6;3
43;7;4
43;8;4
43;9;1
43;10;5
44;1;5
44;2;1
44;3;1
44;4;1
44;5;1
44;6;1
44;7;4
44;8;3
44;9;2
44;10;2
45;1;2
45;2;1
45;3;5
45;4;3
45;5;1
45;6;2
45;7;1
45;8;1
45;9;2
45;10;5
46;1;2
46;2;5
46;3;1
46;4;5
46;5;3
46;6;4
46;7;3
46;8;4
46;9;5
46;10;3
47;1;1
47;2;3
47;3;4
47;4;3
47;5;1
47;6;1
47;7;5
47;8;2
47;9;2
47;10;4
48;1;1
48;2;5
48;3;4
48;4;5
48;5;4
48;6;5
48;7;4
48;8;5
48;9;4
48;10;2
49;1;5
49;2;2
49;3;4
49;4;1
49;5;2
49;6;2
49;7;5
49;8;4
